No,TimeStamp,Message,Predict,Conf,Answer
29/09/2022:21:45:32,เซฟยังไง,การบันทึก,98.0%,ขั้นตอนที่เท่าไหร่หรอคะ
29/09/2022:21:45:41,3,3-การดำเนินการตามแผนการจัดการศึกษา,98.0%,โครงการที่ไม่ได้ทำ โรงเรียนสามารถกดยกเลิกโครงการได้ ในขั้นที่ 3 อย่างไรก็ตามโรงเรียนสามารถเลือกดำเนินได้หลากหลายวิธีตามความเหมาะสมและดุลพินิจของผู้บริหารสถานศึกษา เช่น ปรับแผนปฏิบัติการประจำปี ,ปรับโครงการ ,ยกเลิกโครงการ
29/09/2022:21:46:03,เซฟยังไง,การบันทึก,98.0%,ขั้นตอนที่เท่าไหร่หรอคะ
29/09/2022:21:46:34,3,3-การดำเนินการตามแผนการจัดการศึกษา,98.0%,โครงการที่ไม่ได้ทำ โรงเรียนสามารถกดยกเลิกโครงการได้ ในขั้นที่ 3 อย่างไรก็ตามโรงเรียนสามารถเลือกดำเนินได้หลากหลายวิธีตามความเหมาะสมและดุลพินิจของผู้บริหารสถานศึกษา เช่น ปรับแผนปฏิบัติการประจำปี ,ปรับโครงการ ,ยกเลิกโครงการ
29/09/2022:21:46:38,3,3-การดำเนินการตามแผนการจัดการศึกษา,98.0%,โครงการที่ไม่ได้ทำ โรงเรียนสามารถกดยกเลิกโครงการได้ ในขั้นที่ 3 อย่างไรก็ตามโรงเรียนสามารถเลือกดำเนินได้หลากหลายวิธีตามความเหมาะสมและดุลพินิจของผู้บริหารสถานศึกษา เช่น ปรับแผนปฏิบัติการประจำปี ,ปรับโครงการ ,ยกเลิกโครงการ
29/09/2022:21:47:03,3,3-การดำเนินการตามแผนการจัดการศึกษา,98.0%,โครงการที่ไม่ได้ทำ โรงเรียนสามารถกดยกเลิกโครงการได้ ในขั้นที่ 3 อย่างไรก็ตามโรงเรียนสามารถเลือกดำเนินได้หลากหลายวิธีตามความเหมาะสมและดุลพินิจของผู้บริหารสถานศึกษา เช่น ปรับแผนปฏิบัติการประจำปี ,ปรับโครงการ ,ยกเลิกโครงการ
29/09/2022:21:47:26,เซฟยังไง,การบันทึก,98.0%,ขั้นตอนที่เท่าไหร่หรอคะ
29/09/2022:21:47:37,การกำหนดมาตรฐาน,1-กำหนดมาตรฐาน,75.0%,วิธีการใส่ข้อมูลขั้นที่ 1 กำหนดมาตรฐานฯ หากเข้ามาครั้งแรกให้คลิกปุ่มเพิ่มมาตรฐาน มุมบนขวามือ สามารถดูวิธีการแบบ VDO ได้ผ่านlink นี้ 👉https://youtu.be/1Ii49Vr8ssA
29/09/2022:21:47:54,การหำหนดมาตรฐาน,False,47.0%,ไม่เข้าใจคำถามค่ะ กรุณาถามใหม่อีกทีนะคะ
29/09/2022:21:48:05,การกำหนดมาตรฐาน,1-กำหนดมาตรฐาน,75.0%,วิธีการใส่ข้อมูลขั้นที่ 1 กำหนดมาตรฐานฯ หากเข้ามาครั้งแรกให้คลิกปุ่มเพิ่มมาตรฐาน มุมบนขวามือ สามารถดูวิธีการแบบ VDO ได้ผ่านlink นี้ 👉https://youtu.be/1Ii49Vr8ssA
29/09/2022:21:48:13,เซฟยังไง,การบันทึก,98.0%,ขั้นตอนที่เท่าไหร่หรอคะ
29/09/2022:21:48:18,การกำหนดมาตรฐาน,1-กำหนดมาตรฐาน,75.0%,วิธีการใส่ข้อมูลขั้นที่ 1 กำหนดมาตรฐานฯ หากเข้ามาครั้งแรกให้คลิกปุ่มเพิ่มมาตรฐาน มุมบนขวามือ สามารถดูวิธีการแบบ VDO ได้ผ่านlink นี้ 👉https://youtu.be/1Ii49Vr8ssA
29/09/2022:21:48:21,การกำหนดมาตรฐาน,1-กำหนดมาตรฐาน,75.0%,วิธีการใส่ข้อมูลขั้นที่ 1 กำหนดมาตรฐานฯ หากเข้ามาครั้งแรกให้คลิกปุ่มเพิ่มมาตรฐาน มุมบนขวามือ สามารถดูวิธีการแบบ VDO ได้ผ่านlink นี้ 👉https://youtu.be/1Ii49Vr8ssA
29/09/2022:21:50:59,ด,False,39.0%,ไม่เข้าใจคำถามค่ะ กรุณาถามใหม่อีกทีนะคะ
29/09/2022:21:51:07,เซฟยังไง,การบันทึก,98.0%,ขั้นตอนที่เท่าไหร่หรอคะ
29/09/2022:21:51:16,เซฟยังไง,การบันทึก,98.0%,ขั้นตอนที่เท่าไหร่หรอคะ
29/09/2022:21:51:28,เซฟยังไง,การบันทึก,98.0%,ขั้นตอนที่เท่าไหร่หรอคะ
29/09/2022:21:51:35,safeยังไง,False,26.0%,ไม่เข้าใจคำถามค่ะ กรุณาถามใหม่อีกทีนะคะ
29/09/2022:21:52:23,save ยังไง?,การบันทึก,96.0%,ขั้นตอนที่เท่าไหร่หรอคะ
29/09/2022:21:52:29,3,3-การดำเนินการตามแผนการจัดการศึกษา,98.0%,โครงการที่ไม่ได้ทำ โรงเรียนสามารถกดยกเลิกโครงการได้ ในขั้นที่ 3 อย่างไรก็ตามโรงเรียนสามารถเลือกดำเนินได้หลากหลายวิธีตามความเหมาะสมและดุลพินิจของผู้บริหารสถานศึกษา เช่น ปรับแผนปฏิบัติการประจำปี ,ปรับโครงการ ,ยกเลิกโครงการ
